ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00148650;Daniel;Gleiber;Gleiber;Daniel Gleiber;1. FSV Mainz 05;MIDFIELDER;600000;0;0.0
pl-k00149094;Jean-Matteo;Bahoya;Bahoya;Jean-Matteo Bahoya;Eintracht Frankfurt;MIDFIELDER;2200000;74;Mrz 92
pl-k00149146;Ibrahim;Maza;Maza;Ibrahim Maza;Bayer 04 Leverkusen;MIDFIELDER;2000000;177;03. Feb
pl-k00149290;Eliesse;Ben Seghir;Ben Seghir;Eliesse Ben Seghir;Bayer 04 Leverkusen;MIDFIELDER;2400000;16;4.0
pl-k00149407;Bruno;Ogbus;Ogbus;Bruno Ogbus;SC Freiburg;DEFENDER;500000;54;Mrz 67
pl-k00149412;Karl;Steinmann;Steinmann;Karl Steinmann;SC Freiburg;DEFENDER;500000;0;0.0
pl-k00149443;Tim;Köhler;Köhler;Tim Köhler;VfB Stuttgart;DEFENDER;500000;0;0.0
pl-k00149508;Ilyas;Ansah;Ansah;Ilyas Ansah;1. FC Union Berlin;FORWARD;1400000;122;Mrz 64
pl-k00149539;Fabio;Baldé;Baldé;Fabio Baldé;Hamburger SV;MIDFIELDER;1300000;37;Mrz 92
pl-k00149673;Hennes;Behrens;Behrens;Hennes Behrens;1. FC Heidenheim;DEFENDER;500000;77;03. Apr
pl-k00149677;Florian;Micheler;Micheler;Florian Micheler;TSG Hoffenheim;MIDFIELDER;500000;0;0.0
pl-k00149753;Adam;Kölle;Kölle;Adam Kölle;1. FC Heidenheim;DEFENDER;500000;13;04. Mai
pl-k00149797;Kelven;Frees;Frees;Kelven Frees;TSG Hoffenheim;DEFENDER;500000;0;0.0
pl-k00150347;Fousseny;Doumbia;Doumbia;Fousseny Doumbia;Eintracht Frankfurt;DEFENDER;500000;0;0.0
pl-k00150671;Andrej;Ilic;Ilic;Andrej Ilic;1. FC Union Berlin;FORWARD;2200000;120;Mrz 78
pl-k00150682;Badredine;Bouanani;Bouanani;Badredine Bouanani;VfB Stuttgart;FORWARD;1800000;28;4.0
pl-k00151054;Hugo;Larsson;Larsson;Hugo Larsson;Eintracht Frankfurt;MIDFIELDER;3000000;54;04. Feb
pl-k00151360;David;Leal Costa;Leal Costa;David Leal Costa;FC Augsburg;FORWARD;500000;0;0.0
pl-k00151362;Florian;Hellstern;Hellstern;Florian Hellstern;VfB Stuttgart;GOALKEEPER;500000;0;0.0
pl-k00151363;Trevor;Benedict;Benedict;Trevor Benedict;VfL Wolfsburg;FORWARD;500000;0;0.0
pl-k00151366;Montrell;Culbreath;Culbreath;Montrell Culbreath;Bayer 04 Leverkusen;MIDFIELDER;500000;36;Mrz 75
pl-k00151371;Otto;Stange;Stange;Otto Stange;Hamburger SV;FORWARD;700000;4;04. Mai
pl-k00151844;Felix;Meiser;Meiser;Felix Meiser;FC Augsburg;DEFENDER;500000;0;0.0
pl-k00151846;Till;Neininger;Neininger;Till Neininger;VfL Wolfsburg;DEFENDER;500000;0;0.0
pl-k00152462;Deniz;Ofli;Ofli;Deniz Ofli;Bayern München;DEFENDER;500000;2;0.0
pl-k00153242;Oliver;Sorg;Sorg;Oliver Sorg;FC Augsburg;DEFENDER;500000;0;0.0
pl-k00153529;Jonas;Adjetey;Adjetey;Jonas Adjetey;VfL Wolfsburg;DEFENDER;1700000;2;04. Mai
pl-k00153662;Kaishu;Sano;Kai. Sano;Kaishu Sano;1. FSV Mainz 05;MIDFIELDER;3200000;198;Mrz 16
pl-k00153733;Cole;Campbell;Campbell;Cole Campbell;TSG Hoffenheim;FORWARD;1000000;12;03. Mai
pl-k00153779;Johan;Manzambi;Manzambi;Johan Manzambi;SC Freiburg;MIDFIELDER;1800000;159;Mrz 24
pl-k00153810;Yannick;Eduardo;Eduardo;Yannick Eduardo;TSG Hoffenheim;FORWARD;1200000;2;0.0
pl-k00154032;Mats;Heitmann;Heitmann;Mats Heitmann;Werder Bremen;DEFENDER;500000;0;0.0
pl-k00154239;Younes;Ebnoutalib;Ebnoutalib;Younes Ebnoutalib;Eintracht Frankfurt;FORWARD;2000000;23;2.0
pl-k00154311;Deniz;Zeitler;Zeitler;Deniz Zeitler;TSG Hoffenheim;FORWARD;500000;0;0.0
pl-k00154546;Noahkai;Banks;Banks;Noahkai Banks;FC Augsburg;DEFENDER;1400000;86;Mrz 61
pl-k00155136;Kaua;Morais Vieira dos Santos;Kaua Santos;Kaua Santos;Eintracht Frankfurt;GOALKEEPER;1000000;30;4.0
pl-k00155318;Youssoupha;Niang;Niang;Youssoupha Niang;1. FC Köln;FORWARD;500000;16;04. Mai
pl-k00155808;Livan;Burcu;Burcu;Livan Burcu;1. FC Union Berlin;FORWARD;1600000;52;Mrz 59
pl-k00155823;Luka;Vuskovic;L. Vuskovic;Luka Vuskovic;Hamburger SV;DEFENDER;1600000;213;3.0
pl-k00156013;Ben;Hawighorst;Hawighorst;Ben Hawighorst;Bayer 04 Leverkusen;DEFENDER;500000;0;0.0
pl-k00156015;Lennart;Karl;Karl;Lennart Karl;Bayern München;MIDFIELDER;1000000;136;Mrz 25
pl-k00156018;Jeremiah;Mensah;J. Mensah;Jeremiah Mensah;Bayer 04 Leverkusen;MIDFIELDER;500000;0;0.0
pl-k00156019;Wisdom;Mike;Mike;Wisdom Mike;Bayern München;FORWARD;500000;8;0.0
pl-k00156021;Raphael;Pavlic;Pavlic;Raphael Pavlic;Bayern München;DEFENDER;500000;0;0.0
pl-k00156279;Conrad;Harder;Harder;Conrad Harder;RB Leipzig;FORWARD;2800000;75;Mrz 79
pl-k00156434;Leon;Avdullahu;Avdullahu;Leon Avdullahu;TSG Hoffenheim;MIDFIELDER;1800000;196;03. Mrz
pl-k00156588;Tidiam;Gomis;Gomis;Tidiam Gomis;RB Leipzig;FORWARD;1200000;45;Mrz 38
pl-k00156895;Andrija;Maksimovic;Maksimovic;Andrija Maksimovic;RB Leipzig;MIDFIELDER;1600000;16;0.0
pl-k00156899;Lazar;Jovanovic;Jovanovic;Lazar Jovanovic;VfB Stuttgart;MIDFIELDER;1400000;6;03. Mai
pl-k00158876;Salim;Musah;Musah;Salim Musah;Werder Bremen;FORWARD;500000;17;4.0
pl-k00158911;Fernando;Dickes;Dickes;Fernando Dickes;Hamburger SV;GOALKEEPER;500000;0;0.0
pl-k00158918;Nuha;Jatta;Jatta;Nuha Jatta;VfB Stuttgart;MIDFIELDER;500000;0;0.0
pl-k00158955;Jan;Urbich;Urbich;Jan Urbich;Bor. Mönchengladbach;FORWARD;600000;6;0.0
pl-k00159341;Andrik;Markgraf;Markgraf;Andrik Markgraf;1. FC Union Berlin;DEFENDER;500000;0;0.0
pl-k00159369;Jannik;Robatsch;Robatsch;Jannik Robatsch;FC St. Pauli;DEFENDER;1400000;0;0.0
pl-k00159506;Jannis;Bärtl;Bärtl;Jannis Bärtl;Bayern München;GOALKEEPER;500000;0;0.0
pl-k00159607;Nick;Rothweiler;Rothweiler;Nick Rothweiler;1. FC Heidenheim;MIDFIELDER;500000;0;0.0
pl-k00159629;Said;El Mala;S. El Mala;Said El Mala;1. FC Köln;MIDFIELDER;1700000;222;Mrz 13
pl-k00159630;Malek;El Mala;M. El Mala;Malek El Mala;1. FC Köln;FORWARD;500000;0;0.0
pl-k00160199;Jeremy;Arevalo;Arevalo;Jeremy Arevalo;VfB Stuttgart;FORWARD;1400000;16;0.0
pl-k00160969;Wesley;Adeh;Adeh;Wesley Adeh;Werder Bremen;MIDFIELDER;500000;0;0.0
pl-k00160976;Ebu Bekir;Is;Is;Ebu Bekir Is;Eintracht Frankfurt;MIDFIELDER;500000;0;0.0
pl-k00161192;Mick;Schmetgens;Schmetgens;Mick Schmetgens;Werder Bremen;DEFENDER;500000;4;03. Mai
pl-k00161193;Wael;Mohya;Mohya;Wael Mohya;Bor. Mönchengladbach;MIDFIELDER;1000000;50;Mrz 55
pl-k00161346;Karim;Coulibaly;Coulibaly;Karim Coulibaly;Werder Bremen;DEFENDER;500000;82;Mrz 71
pl-k00161353;Dmytro;Bogdanov;Bogdanov;Dmytro Bogdanov;1. FC Union Berlin;FORWARD;500000;6;0.0
pl-k00161799;Marwin;Schmitz;Schmitz;Marwin Schmitz;FC St. Pauli;MIDFIELDER;500000;0;0.0
pl-k00162291;Keita;Kosugi;Kosugi;Keita Kosugi;Eintracht Frankfurt;DEFENDER;1600000;0;0.0
pl-k00162736;Issa;Traoré;Traoré;Issa Traoré;Bayer 04 Leverkusen;DEFENDER;500000;0;0.0
pl-k00163023;Emmanuel;Chigozie Owen;Chigozie;Emmanuel Chigozie Owen;Bayer 04 Leverkusen;MIDFIELDER;500000;0;0.0
pl-k00164538;Guido;Della Rovere;Della Rovere;Guido Della Rovere;Bayern München;MIDFIELDER;500000;0;0.0
pl-k00164889;Pharell;Hensel;Hensel;Pharell Hensel;VfL Wolfsburg;MIDFIELDER;500000;6;5.0
pl-k00164910;Luis;Engelns;Engelns;Luis Engelns;TSG Hoffenheim;MIDFIELDER;1000000;0;0.0
pl-k00165263;David;Santos;Santos;David Santos;Bayern München;MIDFIELDER;500000;4;0.0
pl-k00165501;Kasey;Bos;Bos;Kasey Bos;1. FSV Mainz 05;DEFENDER;1000000;0;0.0
pl-k00165535;Kento;Shiogai;Shiogai;Kento Shiogai;VfL Wolfsburg;FORWARD;1500000;23;03. Sep
pl-k00165899;Ayodele;Thomas;Thomas;Ayodele Thomas;RB Leipzig;FORWARD;1200000;0;0.0
pl-k00165908;Jahmai;Simpson-Pusey;Simpson-Pusey;Jahmai Simpson-Pusey;1. FC Köln;DEFENDER;1400000;48;03. Feb
pl-k00166190;Tim;Schnitzer;Schnitzer;Tim Schnitzer;FC Augsburg;DEFENDER;500000;2;0.0
pl-k00167335;Hugo;Bolin;Bolin;Hugo Bolin;Bor. Mönchengladbach;MIDFIELDER;1400000;40;Mrz 61
pl-k00167552;Amil;Siljevic;Siljevic;Amil Siljevic;Eintracht Frankfurt;GOALKEEPER;500000;0;0.0
pl-k00167640;Luca;Reggiani;Reggiani;Luca Reggiani;Borussia Dortmund;DEFENDER;700000;31;Mrz 57
pl-k00167652;Viggo;Gebel;Gebel;Viggo Gebel;RB Leipzig;MIDFIELDER;600000;0;0.0
pl-k00167677;Marvin;Dills;Dills;Marvin Dills;Eintracht Frankfurt;MIDFIELDER;500000;0;0.0
pl-k00167749;Kacper;Potulski;Potulski;Kacper Potulski;1. FSV Mainz 05;DEFENDER;900000;61;Mrz 38
pl-k00167928;Alexander;Rössing-Lelesiit;Rössing-Lelesiit;Alexander Rössing-Lelesiit;Hamburger SV;MIDFIELDER;600000;15;04. Mai
pl-k00168200;Patrice;Covic;Covic;Patrice Covic;Werder Bremen;MIDFIELDER;500000;22;04. Mrz
pl-k00168474;Leonard;Prescott;Prescott;Leonard Prescott;Bayern München;GOALKEEPER;500000;0;0.0
pl-k00168490;Cassiano;Kiala;Kiala;Cassiano Kiala;Bayern München;DEFENDER;500000;2;0.0
pl-k00168971;Jakub;Zielinski;Zielinski;Jakub Zielinski;VfL Wolfsburg;GOALKEEPER;500000;0;0.0
pl-k00169014;Alejo;Sarco;Sarco;Alejo Sarco;Bor. Mönchengladbach;FORWARD;500000;8;4.0
pl-k00169162;Samuele;Inacio;Inacio;Samuele Inacio;Borussia Dortmund;FORWARD;500000;27;03. Apr
pl-k00169243;Yannik;Wagner;Wagner;Yannik Wagner;1. FC Heidenheim;FORWARD;500000;8;0.0
pl-k00169244;Tobias;Weigel;Weigel;Tobias Weigel;1. FC Heidenheim;MIDFIELDER;500000;2;0.0
pl-k00169471;Jose Maria;Andres Baixauli;Chema;Chema;VfB Stuttgart;MIDFIELDER;1500000;118;03. Sep
pl-k00169838;Rouven;Tarnutzer;Tarnutzer;Rouven Tarnutzer;SC Freiburg;MIDFIELDER;500000;2;0.0
pl-k00169871;Mirza;Catovic;Catovic;Mirza Catovic;VfB Stuttgart;MIDFIELDER;500000;0;0.0
pl-k00169915;Stefan;Smarkalev;Smarkalev;Stefan Smarkalev;Werder Bremen;GOALKEEPER;500000;0;0.0
pl-k00170429;Simeon;Rapsch;Rapsch;Simeon Rapsch;Bayer 04 Leverkusen;GOALKEEPER;500000;0;0.0
pl-k00170591;Fynn;Schenten;Schenten;Fynn Schenten;1. FC Köln;FORWARD;1000000;14;4.0
pl-k00170610;Felipe;Chavez;Chavez;Felipe Chavez;1. FC Köln;MIDFIELDER;500000;16;4.0
pl-k00170954;Nick;Schmidt;Schmidt;Nick Schmidt;FC St. Pauli;MIDFIELDER;500000;0;0.0
pl-k00170963;Shafiq;Nandja;Nandja;Shafiq Nandja;Hamburger SV;DEFENDER;500000;4;0.0
pl-k00171225;Bruno;Katz;Katz;Bruno Katz;VfL Wolfsburg;FORWARD;500000;0;0.0
pl-k00171306;Louis;Lemke;Lemke;Louis Lemke;Hamburger SV;DEFENDER;500000;2;0.0
pl-k00171930;Cyriaque;Irié;Irié;Cyriaque Irié;SC Freiburg;FORWARD;1600000;28;03. Mai
pl-k00173237;Erblin;Osmani;Osmani;Erblin Osmani;Bayern München;MIDFIELDER;500000;2;0.0
pl-k00173305;Mathis;Albert;Albert;Mathis Albert;Borussia Dortmund;FORWARD;500000;2;0.0
pl-k00173877;Axel;Tape;Tape;Axel Tape;Bayer 04 Leverkusen;DEFENDER;1200000;8;4.0
pl-k00174197;Abdoulie;Ceesay;Ceesay;Abdoulie Ceesay;FC St. Pauli;FORWARD;1000000;35;04. Mrz
pl-k00174580;Christian;Kofane;Kofane;Christian Kofane;Bayer 04 Leverkusen;FORWARD;1400000;117;Mrz 36
pl-k00174794;Bazoumana;Touré;Touré;Bazoumana Touré;TSG Hoffenheim;FORWARD;2000000;193;03. Feb
pl-k00175253;Tomoya;Ando;Ando;Tomoya Ando;FC St. Pauli;DEFENDER;1400000;51;03. Jul
pl-k00176299;Yan;Diomande;Diomande;Yan Diomande;RB Leipzig;FORWARD;1600000;273;Feb 87
pl-k00176357;Love;Arrhov;Arrhov;Love Arrhov;Eintracht Frankfurt;MIDFIELDER;1200000;6;5.0
pl-k00177483;Bastian;Assomo;Assomo;Bastian Assomo;Bayern München;FORWARD;500000;0;0.0
pl-k00177491;Linus;Güther;Güther;Linus Güther;1. FC Union Berlin;MIDFIELDER;500000;2;0.0
pl-k00178069;Emil;Gazdov;Gazdov;Emil Gazdov;FC St. Pauli;GOALKEEPER;500000;0;0.0
pl-k00178213;Benno;Kaltefleiter;Kaltefleiter;Benno Kaltefleiter;RB Leipzig;MIDFIELDER;500000;0;0.0
pl-k00178704;Uchenna;Ogundu;Ogundu;Uchenna Ogundu;FC Augsburg;FORWARD;1500000;12;0.0
pl-k00179096;Samba;Konaté;Konaté;Samba Konaté;RB Leipzig;FORWARD;500000;2;0.0
pl-k00179097;Maycon;Cardozo;Cardozo;Maycon Cardozo;Bayern München;MIDFIELDER;500000;4;03. Mai
pl-k00181962;Suleman;Sani;Sani;Suleman Sani;RB Leipzig;FORWARD;1000000;0;0.0
pl-k00187446;Keito;Kumashiro;Kumashiro;Keito Kumashiro;Eintracht Frankfurt;FORWARD;500000;0;0.0
pl-k00187691;Bara;Sapoko Ndiaye;Sapoko Ndiaye;Bara Sapoko Ndiaye;Bayern München;FORWARD;500000;2;Apr 75
